12Z 31 Jul 2017, 17.24 26.41
00Z 01 Aug 2017, 74.40 25.79
12Z 01 Aug 2017, 1039.10 21.45
00Z 02 Aug 2017, 430.10 21.43
12Z 02 Aug 2017, 138.00 17.22
00Z 03 Aug 2017, 268.32 22.03
12Z 03 Aug 2017, 1907.14 22.88
00Z 04 Aug 2017, 34.62 13.05
12Z 04 Aug 2017, 1004.49 21.61
00Z 05 Aug 2017, 32.89 17.88
12Z 05 Aug 2017, 1306.45 21.13
00Z 06 Aug 2017, 18.94 11.90
09Z 06 Aug 2017, 296.54 12.28
00Z 07 Aug 2017, 254.12 16.08
12Z 07 Aug 2017, 0.00 10.23
00Z 08 Aug 2017, 25.40 13.14
09Z 08 Aug 2017, 3358.28 39.20
00Z 09 Aug 2017, 0.00 16.88
12Z 09 Aug 2017, 2006.24 25.20
00Z 10 Aug 2017, 569.57 22.05
12Z 10 Aug 2017, 1845.57 23.63
00Z 11 Aug 2017, 107.61 15.52
12Z 11 Aug 2017, 2403.24 20.94
00Z 12 Aug 2017, 842.85 18.37
12Z 12 Aug 2017, 1231.50 19.29
00Z 13 Aug 2017, 362.24 23.83
12Z 13 Aug 2017, 3304.45 29.34
00Z 14 Aug 2017, 420.02 23.81
12Z 14 Aug 2017, 1406.19 27.08
12Z 15 Aug 2017, 398.85 25.25
00Z 16 Aug 2017, 325.87 24.59
12Z 16 Aug 2017, 1294.25 32.02
00Z 17 Aug 2017, 121.37 22.12
12Z 17 Aug 2017, 227.12 21.88
00Z 18 Aug 2017, 428.85 19.92
12Z 18 Aug 2017, 145.76 19.99
00Z 19 Aug 2017, 73.35 18.22
12Z 19 Aug 2017, 2865.78 21.95
00Z 20 Aug 2017, 105.44 17.08
12Z 20 Aug 2017, 109.72 14.65
00Z 21 Aug 2017, 63.24 17.30
12Z 21 Aug 2017, 69.15 17.60
00Z 22 Aug 2017, 3.23 14.97
12Z 22 Aug 2017, 212.73 19.35
00Z 23 Aug 2017, 2.54 16.43
12Z 23 Aug 2017, 1901.00 23.62
00Z 24 Aug 2017, 0.88 16.13
12Z 24 Aug 2017, 2092.22 24.57
00Z 25 Aug 2017, 0.00 18.88
12Z 25 Aug 2017, 852.22 24.95
00Z 26 Aug 2017, 86.59 20.93
12Z 26 Aug 2017, 81.65 22.24
00Z 27 Aug 2017, 106.04 24.22
12Z 27 Aug 2017, 881.04 24.17
00Z 28 Aug 2017, 65.50 15.73
12Z 28 Aug 2017, 652.58 23.03
00Z 29 Aug 2017, 110.57 16.77
12Z 29 Aug 2017, 1313.67 22.23
00Z 30 Aug 2017, 548.01 18.47
12Z 30 Aug 2017, 38.72 14.40
00Z 31 Aug 2017, 0.00 12.33
12Z 31 Aug 2017, 2179.78 19.34
12Z 01 Sep 2017, 946.11 23.12
00Z 02 Sep 2017, 536.48 19.27
12Z 02 Sep 2017, 1761.90 23.96
00Z 03 Sep 2017, 84.79 21.93
12Z 03 Sep 2017, 1016.53 23.59
00Z 04 Sep 2017, 0.00 12.08
12Z 04 Sep 2017, 1559.30 15.43
00Z 05 Sep 2017, 0.00 10.39
12Z 05 Sep 2017, 393.72 15.80
00Z 06 Sep 2017, 1.84 11.40
12Z 06 Sep 2017, 3594.44 20.17
00Z 07 Sep 2017, 23.13 20.29
12Z 07 Sep 2017, 462.34 18.18
00Z 08 Sep 2017, 0.00 10.09
12Z 08 Sep 2017, 0.00 8.77
00Z 09 Sep 2017, 0.00 12.56
12Z 09 Sep 2017, 0.00 14.35
00Z 10 Sep 2017, 0.00 14.87
12Z 10 Sep 2017, 0.00 14.47
00Z 11 Sep 2017, 0.00 9.23
09Z 11 Sep 2017, 45.66 14.82
00Z 12 Sep 2017, 0.00 12.86
12Z 12 Sep 2017, 0.00 12.29
12Z 13 Sep 2017, 0.00 18.27
00Z 14 Sep 2017, 0.00 16.62
12Z 14 Sep 2017, 0.00 14.82
00Z 15 Sep 2017, 0.00 13.87
12Z 15 Sep 2017, 0.00 13.60
00Z 16 Sep 2017, 0.00 10.59
12Z 16 Sep 2017, 0.00 9.87
12Z 19 Sep 2017, 2141.85 23.98
